,Угрозы судебным разбирательством,Отмена подписок,Отключение Фотомира и GOOD'OK,"Плохая связь в некоторых регионах, отключение услуги",Лишние подписки в детализации,Низкая скорость интернета,Регистрация\вход в личный кабинет,"Отключение ПВР Безлимитный Интернет, Бонджорно Мобайл Рус",Проблемы с тарифами на интернет,"Переоформление, отключение допсервисов",Отключиение услуги с отложенным платежом,Возврат денег за игру по ссылке,Отписка от викторины,"Отмена подписки, с указанием региона",Общие вопросы к операторам
keyword0,потребитель,pc,temafon.ru,балашиха,сервис,скорость,контракт,промо,xs,переоформление,срок,игра,викторин,новгород,оператор3
keyword1,вправе,pvr,GOOD'OK,allin,подписка,ограничение,пароль,ПВР Безлимитный Интернет,хайвэй,киви,оплата,stk.Оператор2pro.ru/get/,эрудит,vrn,оператор2
keyword2,исполнитель,uin,фотомир,вытаскивать,детализация,модем,зарегистрировать,интернет,rbtsoap2,погода,отложить,stk.Оператор2pro.ru/get/,смартфон,нижний,карта
keyword3,gtoday.ru/ops/,alco,GOOD'OK,немочь,просить,кб,вычитать,безлимитный,загонять,прогноз,подробность,ого,rbtsoap1,rdc,компания
keyword4,gtoday.ru/ops/,mccp,карманный,приморский,руб,кбит,войти,абоненский,трудность,rbtsoap3,Оператор1 KBP,Оператор2pro,ооо,руб,свой
keyword5,продавец,copinet,отключить,партнера,снимать,трафик,кабинет,день,превышение,свидетельство,уважаемый,планшетник,отписаться,корпус,звонок
keyword6,internet,smsmms,канал,томский,подключать,гб,личный,g,gb,network,руб,yadi.sk,участие,allinc,минута
keyword7,закон,просить,ero.temafon.ru,dBm,списать,работать,логин,максим,айпад,вычитаться,контент,суметь,справка,зараза,клиент
keyword8,moscow,nng,фото,наро-фоминск,здравствуйте,сеть,приходить,мобайл,тариф голд,fwd,платёж,yadi.sk,активировать,Ханты-Мансийский автономный округ,сие
keyword9,уплатить,подключать,fotomir,микрорайон,партнёр,хайвей,уважаемый\с уважением,Бонджорно Мобайл Рус,увеличиваться,валерий,прийти,Мэджик Электроникс,москомсвязь,Оператор2pro,работать
keyword10,федеральный закон,списание,вознаграждение,ежемесячный,средство,здравствуйте,чё,Бонджорно Мобайл Рус,премиальный,несовершеннолетний,долг,внук,неправомерно,forum,звонить
keyword11,выполнять,cr,личный кабинет,королев,дополнительный,упасть,отложенный,зеленоград,утечка,допсервис,снятой,Мэджик Электроникс,подписка,анонимный,руб
keyword12,статья,gprsunlim,челябинский,kmr,списываться,секунды,попытка,желательно,счётчик,qiwi,абонент,нажать,провайдер,убираться,офис
keyword13,работа,unlimint,положить,all500,списание,сигнал,списаный,фотография,безлимитка,горячая линия,бесплатный,пойма,просить,ежедневно,ответ
keyword14,редакция от,здравствуйте,далее,наро-фоминск,кабинет,pro,xайвей,башкортостан,производить,opps,стоимость,-ое,строка,переодичность,вопрос
