,Угрозы судебным разбирательством,Отмена подписок,Отключение Фотомира и GOOD'OK,"Плохая связь в некоторых регионах, отключение услуги",Лишние подписки в детализации,Низкая скорость интернета,Регистрация\вход в личный кабинет,"Отключение ПВР Безлимитный Интернет, Бонджорно Мобайл Рус",Проблемы с тарифами на интернет,"Переоформление, отключение допсервисов",Отключиение услуги с отложенным платежом,Возврат денег за игру по ссылке,Отписка от викторины,"Отмена подписки, с указанием региона",Общие вопросы к операторам
keyword0,21.509,318.433,13.371,3.447,356.238,406.975,20.299,8.328,7.995,9.71,65.218,5.492,45.169,8.263,474.063
keyword1,17.764,61.707,10.237,3.199,336.26,162.762,18.779,7.467,7.188,7.6,64.514,4.725,37.528,5.249,443.032
keyword2,13.079,57.676,9.613,3.076,316.972,114.724,17.79,7.227,6.92,6.473,63.655,4.097,33.568,3.999,288.068
keyword3,11.746,57.495,9.584,2.784,314.163,100.584,7.993,6.567,5.829,5.868,61.369,4.075,22.945,3.691,270.599
keyword4,11.489,28.366,9.263,2.64,301.963,87.477,5.916,5.994,5.685,5.475,57.203,3.989,15.921,3.646,257.615
keyword5,10.16,27.42,7.676,2.612,300.612,84.713,5.868,5.587,5.65,5.328,56.95,3.856,15.869,3.535,249.206
keyword6,10.104,26.678,5.896,2.483,284.75,83.724,5.65,5.269,5.236,5.127,56.153,3.829,14.455,3.115,247.172
keyword7,9.672,25.053,5.386,2.456,242.936,75.411,5.205,5.249,5.229,4.764,52.311,3.799,14.102,2.133,242.305
keyword8,7.205,23.144,4.6,2.141,240.982,59.637,4.776,5.092,5.202,4.679,52.069,3.786,12.96,2.088,229.085
keyword9,6.654,21.214,4.228,2.133,233.977,56.424,4.646,4.663,5.112,4.628,47.635,3.697,12.801,2.069,225.926
keyword10,6.446,20.63,3.768,2.028,227.207,54.487,4.149,4.507,5.081,4.557,45.078,3.569,12.421,1.979,224.893
keyword11,6.272,19.95,3.598,2.021,204.869,51.175,4.098,4.42,5.031,4.207,44.133,3.139,12.312,1.906,221.224
keyword12,5.889,16.292,3.595,1.937,203.276,50.141,4.083,4.27,4.926,4.165,43.961,3.059,12.28,1.853,220.368
keyword13,5.812,16.198,3.489,1.899,203.216,50.02,3.803,3.275,4.918,4.124,42.466,3.051,10.344,1.829,217.699
keyword14,5.804,12.203,3.212,1.85,177.694,45.303,3.606,3.256,4.717,4.004,37.476,3.03,10.07,1.776,217.114
